,LABEL,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
0,0.0,420000.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,100333.0,102906.0,105030.0,107146.0,107896.0,110149.0,5138.0,5267.0,5347.0,4019.0,4152.0,4173.0
1,0.0,50000.0,1.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44310.0,45244.0,47922.0,46307.0,45983.0,50635.0,3003.0,5007.0,2008.0,3004.0,7019.0,12.0
2,1.0,40000.0,2.0,2.0,1.0,38.0,0.0,0.0,3.0,2.0,2.0,2.0,35183.0,39197.0,39477.0,39924.0,39004.0,41462.0,4600.0,1200.0,1400.0,0.0,3069.0,0.0
3,0.0,20000.0,2.0,2.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,15717.0,16724.0,18051.0,18759.0,19132.0,19684.0,1276.0,1603.0,1311.0,684.0,860.0,874.0
4,0.0,210000.0,2.0,3.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,119530.0,111730.0,107150.0,102418.0,97653.0,92653.0,3998.0,3885.0,3712.0,3599.0,3346.0,2920.0
5,0.0,100000.0,1.0,2.0,2.0,28.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,60.0,210.0,0.0,0.0,0.0,60.0,300.0,3700.0
6,1.0,50000.0,2.0,3.0,2.0,25.0,0.0,0.0,2.0,2.0,2.0,0.0,41641.0,44434.0,45916.0,46566.0,45516.0,46484.0,3500.0,2500.0,1700.0,0.0,1700.0,3900.0
7,0.0,450000.0,1.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,260733.0,228515.0,232762.0,208005.0,194608.0,201044.0,20255.0,50171.0,7096.0,6604.0,10012.0,10000.0
8,0.0,230000.0,2.0,3.0,1.0,50.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2789.0,2942.0,2520.0,2936.0,3493.0,3160.0,2942.0,2520.0,2936.0,3493.0,3160.0,2784.0
9,0.0,310000.0,1.0,2.0,1.0,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-354.0,-354.0,-354.0,-354.0,-354.0,-354.0,0.0,0.0,0.0,0.0,0.0,352.0
10,0.0,200000.0,1.0,3.0,2.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,3179.0,3844.0,5117.0,6877.0,7504.0,8148.0,1844.0,2117.0,1877.0,1504.0,1148.0,2599.0
11,0.0,80000.0,2.0,3.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,61267.0,61300.0,61001.0,58759.0,58212.0,56534.0,2179.0,2226.0,2004.0,2132.0,2030.0,2057.0
12,1.0,30000.0,1.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,29104.0,30606.0,30416.0,28165.0,28654.0,29083.0,2000.0,2000.0,2003.0,2000.0,1000.0,402.0
